,Kategorisi,Brüt_Metrekare,Binanın_Yaşı,Binanın_Kat_Sayısı,Kullanım_Durumu,Yatırıma_Uygunluk,Eşya_Durumu,Banyo_Sayısı,Türü,Net_Metrekare,Oda_Sayısı,Bulunduğu_Kat,Isıtma_Tipi,Krediye_Uygunluk,Site_İçerisinde,Takas,Fiyat_Durumu,Fiyatı,İl,İlçe,Mahalle,yaka,Yaşam_endeksi,Nüfus
2310,Satılık,62,5-10,17,Kiracı Oturuyor,Bilinmiyor,Yok,1,Konut,39,1+1,11. Kat,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,1775000,İstanbul,Maltepe,Cevizli Mahallesi,Anadolu Yakası,0.161,525.566
2311,Satılık,62,5-10,17,Kiracı Oturuyor,Bilinmiyor,Yok,1,Konut,39,1+1,11. Kat,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,1775000,İstanbul,Maltepe,Fındıklı Mahallesi,Anadolu Yakası,0.161,525.566
2312,Satılık,65,5-10,4,Boş,Bilinmiyor,Yok,1,Konut,55,1+1,Bahçe Katı,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,469000,İstanbul,Maltepe,Küçükyalı Mahallesi,Anadolu Yakası,0.161,525.566
2313,Satılık,90,21 Ve Üzeri,3,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,1,Konut,70,2+1,2. Kat,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,995000,İstanbul,Maltepe,Fındıklı Mahallesi,Anadolu Yakası,0.161,525.566
2314,Satılık,150,0,7,Kiracı Oturuyor,Bilinmiyor,Yok,2,Konut,135,3+2,7. Kat,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,1380000,İstanbul,Maltepe,Gülsuyu Mahallesi,Anadolu Yakası,0.161,525.566
2315,Satılık,80,3,4,Kiracı Oturuyor,Bilinmiyor,Yok,1,Konut,60,2+1,2. Kat,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,935000,İstanbul,Maltepe,Altıntepe Mahallesi,Anadolu Yakası,0.161,525.566
2316,Satılık,240,1,5,Boş,Bilinmiyor,Yok,2,Konut,232,4+2,5. Kat,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,5500000,İstanbul,Maltepe,Altıntepe Mahallesi,Anadolu Yakası,0.161,525.566
2317,Satılık,66,0,4,Boş,Bilinmiyor,Yok,1,Konut,52,1+1,1. Kat,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,925000,İstanbul,Maltepe,Altıntepe Mahallesi,Anadolu Yakası,0.161,525.566
2318,Satılık,130,21 Ve Üzeri,4,Boş,Bilinmiyor,Yok,1,Konut,110,3+1,3. Kat,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,1450000,İstanbul,Maltepe,Girne Mahallesi,Anadolu Yakası,0.161,525.566
2319,Satılık,125,4,4,Boş,Bilinmiyor,Yok,2,Konut,100,3+1,3. Kat,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,4600000,İstanbul,Maltepe,Zümrütevler Mahallesi,Anadolu Yakası,0.161,525.566
2320,Satılık,95,21 Ve Üzeri,4,Mülk Sahibi Oturuyor,Bilinmiyor,Yok,1,Konut,76,2+1,Kot 2 (-2). Kat,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,750000,İstanbul,Maltepe,Altıntepe Mahallesi,Anadolu Yakası,0.161,525.566
2321,Satılık,140,21 Ve Üzeri,4,Kiracı Oturuyor,Yatırıma Uygun,Var,2,Konut,125,3+1,3. Kat,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,1600000,İstanbul,Maltepe,Feyzullah Mahallesi,Anadolu Yakası,0.161,525.566
2322,Satılık,100,0,4,Boş,Bilinmiyor,Yok,1,Konut,85,2+1,1. Kat,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,1650000,İstanbul,Maltepe,Cevizli Mahallesi,Anadolu Yakası,0.161,525.566
2323,Satılık,110,4,4,Kiracı Oturuyor,Bilinmiyor,Yok,1,Konut,100,3+1,2. Kat,Doğalgaz,Krediye Uygun,Hayır,Var,Genel Fiyat,1400000,İstanbul,Maltepe,Altıntepe Mahallesi,Anadolu Yakası,0.161,525.566
